Sc1,Sc2,Sc3,Sc4,Sc5,Sc6,Sa1,Sa2,Sa3,Sa4,Sa5,Sa6
0,24.213,114.18,8.551,8.155,0,0,0,25.845,41.091,40.924,13.098
0,24.213,114.18,8.551,8.155,0,0,15.185,69.735,56.888,59.929,15.153
0,24.213,114.18,8.551,8.155,0,0,13.037,30.812,42.538,58.414,11.342
0,24.213,114.18,8.551,8.155,0,0.118,6.9,37.804,28.5,67.457,8.525
0,24.213,114.18,8.551,8.155,0,0.185,7.939,40.775,27.414,61.846,13.932
0,24.213,114.18,8.551,8.155,0,0,13.01,43.992,48.707,59.168,12.446
0,24.213,114.18,8.551,8.155,0,0,6.879,52.141,38.18,64.043,10.736
0,24.213,114.18,8.551,8.155,0,0,0.021,21.784,26.424,41.045,14.536
0,24.213,114.18,8.551,8.155,0,0,7.817,52.357,52.305,52.005,14.361
0,24.213,114.18,8.551,8.155,0,0,0,43.679,74.812,39.067,13.359
0,24.213,114.18,8.551,8.155,0,0,0,41.395,81.31,39.074,12.049
0,24.213,114.18,8.551,8.155,0,0,0.361,57.543,68.423,44.841,15.454
0,24.213,114.18,8.551,8.155,0,0,0.008,62.617,62.496,47.654,11.742
0,24.213,114.18,8.551,8.155,0,0,0,66.009,79.494,40.56,12.182
0,24.213,114.18,8.551,8.155,0,0,0,30.172,60.864,39.323,12.466
0,24.213,114.18,8.551,8.155,0,0,7.395,25.353,33.547,52.55,11.558
0,24.213,114.18,8.551,8.155,0,0,0.008,33.626,50.905,53.607,6.263
0,24.213,114.18,8.551,8.155,0,0,8.467,65.614,105.229,41.01,10.547
0,24.213,114.18,8.551,8.155,0,0,7.979,56.164,85.694,47.812,10.755
0,24.213,114.18,8.551,8.155,0,0,0,35.554,65.969,38.677,13.609
0,24.213,114.18,8.551,8.155,0,0,0,0,0,40.456,12.354
0,24.213,114.18,8.551,8.155,0,0,0,0,0,58.629,0
0,24.213,114.18,8.551,8.155,0,0,0,0.853,9.428,65.895,0.054
0,24.213,114.18,8.551,8.155,0,0,7.115,3.023,14.298,73.596,0
0,24.213,114.18,8.551,8.155,0,0,12.08,7.469,12.759,63.931,6.083
0,24.213,114.18,8.551,8.155,0,0,0,9.904,32.543,31.961,16.387
0,24.213,114.18,8.551,8.155,0,0,0,33.664,141.185,38.207,1.736
0,24.213,114.18,8.551,8.155,0,0,0,68.063,134.364,29.816,16.986
0,24.213,114.18,8.551,8.155,0,0,0,44.486,65.473,71.823,0.045
0,24.213,114.18,8.551,8.155,0,0,0,142.523,208.107,30.669,16.346
0,5.91,429.057,277.281,0,0,0,0,25.845,41.091,40.924,13.098
0,5.91,429.057,277.281,0,0,0,15.185,69.735,56.888,59.929,15.153
0,5.91,429.057,277.281,0,0,0,13.037,30.812,42.538,58.414,11.342
0,5.91,429.057,277.281,0,0,0.118,6.9,37.804,28.5,67.457,8.525
0,5.91,429.057,277.281,0,0,0.185,7.939,40.775,27.414,61.846,13.932
0,5.91,429.057,277.281,0,0,0,13.01,43.992,48.707,59.168,12.446
0,5.91,429.057,277.281,0,0,0,6.879,52.141,38.18,64.043,10.736
0,5.91,429.057,277.281,0,0,0,0.021,21.784,26.424,41.045,14.536
0,5.91,429.057,277.281,0,0,0,7.817,52.357,52.305,52.005,14.361
0,5.91,429.057,277.281,0,0,0,0,43.679,74.812,39.067,13.359
0,5.91,429.057,277.281,0,0,0,0,41.395,81.31,39.074,12.049
0,5.91,429.057,277.281,0,0,0,0.361,57.543,68.423,44.841,15.454
0,5.91,429.057,277.281,0,0,0,0.008,62.617,62.496,47.654,11.742
0,5.91,429.057,277.281,0,0,0,0,66.009,79.494,40.56,12.182
0,5.91,429.057,277.281,0,0,0,0,30.172,60.864,39.323,12.466
0,5.91,429.057,277.281,0,0,0,7.395,25.353,33.547,52.55,11.558
0,5.91,429.057,277.281,0,0,0,0.008,33.626,50.905,53.607,6.263
0,5.91,429.057,277.281,0,0,0,8.467,65.614,105.229,41.01,10.547
0,5.91,429.057,277.281,0,0,0,7.979,56.164,85.694,47.812,10.755
0,5.91,429.057,277.281,0,0,0,0,35.554,65.969,38.677,13.609
0,5.91,429.057,277.281,0,0,0,0,0,0,40.456,12.354
0,5.91,429.057,277.281,0,0,0,0,0,0,58.629,0
0,5.91,429.057,277.281,0,0,0,0,0.853,9.428,65.895,0.054
0,5.91,429.057,277.281,0,0,0,7.115,3.023,14.298,73.596,0
0,5.91,429.057,277.281,0,0,0,12.08,7.469,12.759,63.931,6.083
0,5.91,429.057,277.281,0,0,0,0,9.904,32.543,31.961,16.387
0,5.91,429.057,277.281,0,0,0,0,33.664,141.185,38.207,1.736
0,5.91,429.057,277.281,0,0,0,0,68.063,134.364,29.816,16.986
0,5.91,429.057,277.281,0,0,0,0,44.486,65.473,71.823,0.045
0,5.91,429.057,277.281,0,0,0,0,142.523,208.107,30.669,16.346
0,14.269,164.196,24.346,0,0,0,0,25.845,41.091,40.924,13.098
0,14.269,164.196,24.346,0,0,0,15.185,69.735,56.888,59.929,15.153
0,14.269,164.196,24.346,0,0,0,13.037,30.812,42.538,58.414,11.342
0,14.269,164.196,24.346,0,0,0.118,6.9,37.804,28.5,67.457,8.525
0,14.269,164.196,24.346,0,0,0.185,7.939,40.775,27.414,61.846,13.932
0,14.269,164.196,24.346,0,0,0,13.01,43.992,48.707,59.168,12.446
0,14.269,164.196,24.346,0,0,0,6.879,52.141,38.18,64.043,10.736
0,14.269,164.196,24.346,0,0,0,0.021,21.784,26.424,41.045,14.536
0,14.269,164.196,24.346,0,0,0,7.817,52.357,52.305,52.005,14.361
0,14.269,164.196,24.346,0,0,0,0,43.679,74.812,39.067,13.359
0,14.269,164.196,24.346,0,0,0,0,41.395,81.31,39.074,12.049
0,14.269,164.196,24.346,0,0,0,0.361,57.543,68.423,44.841,15.454
0,14.269,164.196,24.346,0,0,0,0.008,62.617,62.496,47.654,11.742
0,14.269,164.196,24.346,0,0,0,0,66.009,79.494,40.56,12.182
0,14.269,164.196,24.346,0,0,0,0,30.172,60.864,39.323,12.466
0,14.269,164.196,24.346,0,0,0,7.395,25.353,33.547,52.55,11.558
0,14.269,164.196,24.346,0,0,0,0.008,33.626,50.905,53.607,6.263
0,14.269,164.196,24.346,0,0,0,8.467,65.614,105.229,41.01,10.547
0,14.269,164.196,24.346,0,0,0,7.979,56.164,85.694,47.812,10.755
0,14.269,164.196,24.346,0,0,0,0,35.554,65.969,38.677,13.609
0,14.269,164.196,24.346,0,0,0,0,0,0,40.456,12.354
0,14.269,164.196,24.346,0,0,0,0,0,0,58.629,0
0,14.269,164.196,24.346,0,0,0,0,0.853,9.428,65.895,0.054
0,14.269,164.196,24.346,0,0,0,7.115,3.023,14.298,73.596,0
0,14.269,164.196,24.346,0,0,0,12.08,7.469,12.759,63.931,6.083
0,14.269,164.196,24.346,0,0,0,0,9.904,32.543,31.961,16.387
0,14.269,164.196,24.346,0,0,0,0,33.664,141.185,38.207,1.736
0,14.269,164.196,24.346,0,0,0,0,68.063,134.364,29.816,16.986
0,14.269,164.196,24.346,0,0,0,0,44.486,65.473,71.823,0.045
0,14.269,164.196,24.346,0,0,0,0,142.523,208.107,30.669,16.346
0,2.163,265.397,76.063,0,0,0,0,25.845,41.091,40.924,13.098
0,2.163,265.397,76.063,0,0,0,15.185,69.735,56.888,59.929,15.153
0,2.163,265.397,76.063,0,0,0,13.037,30.812,42.538,58.414,11.342
0,2.163,265.397,76.063,0,0,0.118,6.9,37.804,28.5,67.457,8.525
0,2.163,265.397,76.063,0,0,0.185,7.939,40.775,27.414,61.846,13.932
0,2.163,265.397,76.063,0,0,0,13.01,43.992,48.707,59.168,12.446
0,2.163,265.397,76.063,0,0,0,6.879,52.141,38.18,64.043,10.736
0,2.163,265.397,76.063,0,0,0,0.021,21.784,26.424,41.045,14.536
0,2.163,265.397,76.063,0,0,0,7.817,52.357,52.305,52.005,14.361
0,2.163,265.397,76.063,0,0,0,0,43.679,74.812,39.067,13.359
0,2.163,265.397,76.063,0,0,0,0,41.395,81.31,39.074,12.049
0,2.163,265.397,76.063,0,0,0,0.361,57.543,68.423,44.841,15.454
0,2.163,265.397,76.063,0,0,0,0.008,62.617,62.496,47.654,11.742
0,2.163,265.397,76.063,0,0,0,0,66.009,79.494,40.56,12.182
0,2.163,265.397,76.063,0,0,0,0,30.172,60.864,39.323,12.466
0,2.163,265.397,76.063,0,0,0,7.395,25.353,33.547,52.55,11.558
0,2.163,265.397,76.063,0,0,0,0.008,33.626,50.905,53.607,6.263
0,2.163,265.397,76.063,0,0,0,8.467,65.614,105.229,41.01,10.547
0,2.163,265.397,76.063,0,0,0,7.979,56.164,85.694,47.812,10.755
0,2.163,265.397,76.063,0,0,0,0,35.554,65.969,38.677,13.609
0,2.163,265.397,76.063,0,0,0,0,0,0,40.456,12.354
0,2.163,265.397,76.063,0,0,0,0,0,0,58.629,0
0,2.163,265.397,76.063,0,0,0,0,0.853,9.428,65.895,0.054
0,2.163,265.397,76.063,0,0,0,7.115,3.023,14.298,73.596,0
0,2.163,265.397,76.063,0,0,0,12.08,7.469,12.759,63.931,6.083
0,2.163,265.397,76.063,0,0,0,0,9.904,32.543,31.961,16.387
0,2.163,265.397,76.063,0,0,0,0,33.664,141.185,38.207,1.736
0,2.163,265.397,76.063,0,0,0,0,68.063,134.364,29.816,16.986
0,2.163,265.397,76.063,0,0,0,0,44.486,65.473,71.823,0.045
0,2.163,265.397,76.063,0,0,0,0,142.523,208.107,30.669,16.346
0,10.178,248.511,140.411,0,0,0,0,25.845,41.091,40.924,13.098
0,10.178,248.511,140.411,0,0,0,15.185,69.735,56.888,59.929,15.153
0,10.178,248.511,140.411,0,0,0,13.037,30.812,42.538,58.414,11.342
0,10.178,248.511,140.411,0,0,0.118,6.9,37.804,28.5,67.457,8.525
0,10.178,248.511,140.411,0,0,0.185,7.939,40.775,27.414,61.846,13.932
0,10.178,248.511,140.411,0,0,0,13.01,43.992,48.707,59.168,12.446
0,10.178,248.511,140.411,0,0,0,6.879,52.141,38.18,64.043,10.736
0,10.178,248.511,140.411,0,0,0,0.021,21.784,26.424,41.045,14.536
0,10.178,248.511,140.411,0,0,0,7.817,52.357,52.305,52.005,14.361
0,10.178,248.511,140.411,0,0,0,0,43.679,74.812,39.067,13.359
0,10.178,248.511,140.411,0,0,0,0,41.395,81.31,39.074,12.049
0,10.178,248.511,140.411,0,0,0,0.361,57.543,68.423,44.841,15.454
0,10.178,248.511,140.411,0,0,0,0.008,62.617,62.496,47.654,11.742
0,10.178,248.511,140.411,0,0,0,0,66.009,79.494,40.56,12.182
0,10.178,248.511,140.411,0,0,0,0,30.172,60.864,39.323,12.466
0,10.178,248.511,140.411,0,0,0,7.395,25.353,33.547,52.55,11.558
0,10.178,248.511,140.411,0,0,0,0.008,33.626,50.905,53.607,6.263
0,10.178,248.511,140.411,0,0,0,8.467,65.614,105.229,41.01,10.547
0,10.178,248.511,140.411,0,0,0,7.979,56.164,85.694,47.812,10.755
0,10.178,248.511,140.411,0,0,0,0,35.554,65.969,38.677,13.609
0,10.178,248.511,140.411,0,0,0,0,0,0,40.456,12.354
0,10.178,248.511,140.411,0,0,0,0,0,0,58.629,0
0,10.178,248.511,140.411,0,0,0,0,0.853,9.428,65.895,0.054
0,10.178,248.511,140.411,0,0,0,7.115,3.023,14.298,73.596,0
0,10.178,248.511,140.411,0,0,0,12.08,7.469,12.759,63.931,6.083
0,10.178,248.511,140.411,0,0,0,0,9.904,32.543,31.961,16.387
0,10.178,248.511,140.411,0,0,0,0,33.664,141.185,38.207,1.736
0,10.178,248.511,140.411,0,0,0,0,68.063,134.364,29.816,16.986
0,10.178,248.511,140.411,0,0,0,0,44.486,65.473,71.823,0.045
0,10.178,248.511,140.411,0,0,0,0,142.523,208.107,30.669,16.346
